stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
31,26702,Garbaty Mostek 02,,53.019104,18.623021,,,
746,26801,Olbrachta nż. 01,,53.021035,18.627133,,,
276,16601,RUBINKOWO P&R 05,,53.0265983205155,18.6803761124611,,,
385,18701,Barwna 01,,53.035507,18.692219,,,
260,18901,Szczecińska 01,,53.038638,18.695404,,,
672,50101,Suwalska 01,,53.041693,18.698253,,,
744,19101,Cegielnia 01,,53.045936,18.701184,,,
719,19301,Bajeczna 01,,53.0493271441054,18.7050068378448,,,
148,51600,NAD STRUGĄ 00,,53.0507809191759,18.712692496711,,,
88,04602,Elana A 02,,53.0371021937123,18.6624911427498,,,
528,14002,Przychodnia 02,,53.036435,18.657603,,,
265,04302,Tofama 02,,53.034972,18.653099,,,
404,03902,Wschodnia 02,,53.029592314092,18.6418649554253,,,
369,03405,Dworzec Wschodni 05,,53.024935,18.633859,,,
382,08902,Szpital Miejski 02,,53.024256,18.621918,,,
752,08504,Świętopełka 04,,53.023746,18.618406,,,
203,33901,Sąd Rejonowy 01,,53.021588,18.61293,,,
233,25001,Przy Kaszowniku 01,,53.018044,18.612434,,,
534,30201,Dworzec Autobusowy 01,,53.0165614415232,18.6065737903118,,,
418,18502,Odrodzenia 02,,53.015127,18.60147,,,
442,57902,Osiedle Młodych 02,,53.0138876658509,18.5971686244011,,,
156,09404,Kraszewskiego 04,,53.014254,18.590924,,,
674,00702,Sztuki Piękne 02,,53.0138715291037,18.5810860991478,,,
34,01303,Reja 03,,53.013736,18.570752,,,
376,01201,Osiedle Zieleniec 01,,53.0136843423954,18.5659376531839,,,
435,01001,Plac Skalskiego 01,,53.0138428863626,18.5612209886312,,,
319,27101,Szosa Bydgoska 01,,53.015073,18.555938,,,
330,26900,MOTOARENA 00,,53.0152273982389,18.5492388904095,,,
1978,71701,Heweliusza 01,,53.0546927072028,18.5976648330688,,,
1963,71503,STROBANDA 03,,53.0538688916189,18.6031472682953,,,
1970,71303,Grasera 03,,53.0510652211683,18.6039733886719,,,
1966,71103,Hubego 03,,53.0469601509288,18.6035978794098,,,
1972,70903,Freytaga 03,,53.0440383152456,18.6014440655708,,,
1982,70705,Wiśniowieckiego 05,,53.0413388274631,18.5992285609245,,,
1968,70505,Elektryczna 05,,53.0392520107917,18.5996925830841,,,
1981,70307,KONIUCHY 07,,53.0337038771193,18.599858880043,,,
484,46201,Długa 01,,53.0317263755288,18.5959079861641,,,
1957,70105,Żwirki i Wigury 05,,53.0285514570797,18.5908473283052,,,
1967,69905,Wybickiego 05,,53.0253722717906,18.5915118455887,,,
1975,69703,Bema 03,,53.0216180874756,18.5958757996559,,,
1973,69503,Targowisko 03,,53.0181725655156,18.5999165475369,,,
306,24702,POZNAŃSKA 02,,52.9717082116508,18.556259572506,,,
409,67902,Poznańska-osiedle 02,,52.9697844046286,18.5565841197968,,,
473,14202,Poznańska nż. 02,,52.968427511909,18.561125099659,,,
152,24502,Baza Transportu nż. 02,,52.9705145245127,18.5649794340134,,,
278,24302,Osiedle Leśny Zakątek nż. 02,,52.974611,18.567651,,,
391,24104,Gniewkowska nż. 04,,52.97687,18.569279,,,
71,55302,Stepowa nż. 02,,52.978885,18.571407,,,
204,23902,Kręta 02,,52.981613,18.574313,,,
566,23702,Polmozbyt nż. 02,,52.984922,18.577807,,,
686,51802,Kluczyki Cmentarz nż. 02,,52.987614,18.580662,,,
540,23602,Kluczyki nż. 02,,52.989283,18.582635,,,
537,50902,Poznańska (komisariat) nż. 02,,52.992019,18.586325,,,
6,23302,Parkowa 02,,52.993343,18.590953,,,
785,55501,Drzymały 01,,52.9911643774393,18.594985306263,,,
257,49202,Letnia 02,,52.9909238126938,18.6045581102371,,,
1703,68603,Hallera 03,,52.9952049291047,18.6022426814873,,,
699,16801,Strzałowa 01,,52.998611,18.622056,,,
114,63202,Rypińska 02,,53.000611,18.656159,,,
552,35105,Plac Daszyńskiego 05,,53.0226474150389,18.6468994617462,,,
854,06209,RUBINKOWO P&R 02,,53.0273323198516,18.6792120337486,,,
14,06102,Przybyłów 02,,53.028931,18.672725,,,
217,05902,Manhattan 02,,53.02767,18.6648,,,
135,18002,Rubinkowo Centrum 02,,53.0288841630405,18.6597928404808,,,
185,26202,Donimirskiego 02,,53.0294965297306,18.6533682166417,,,
401,34603,Wschodnia 03,,53.0288744843579,18.6437237262726,,,
128,03303,Dworzec Wschodni 03,,53.025218,18.633499,,,
565,08702,Świętopełka 02,,53.0239509795896,18.6188596487045,,,
179,33701,Sąd Rejonowy 03,,53.019782,18.612904,,,
1914,25008,Przy Kaszowniku 08,,53.0181023775914,18.611915409565,,,
171,25305,Reja 05,,53.013191,18.571423,,,
230,01701,Przybyszewskiego 01,,53.009826,18.574321,,,
633,01801,Park Miejski 01,,53.009862,18.579649,,,
511,01901,Konopnickiej 01,,53.0099210718474,18.5851550102234,,,
307,02101,Ogród Zoobotaniczny 01,,53.009406,18.591104,,,
792,33101,Wały gen. Sikorskiego 01,,53.012537,18.602588,,,
1960,69604,Targowisko 04,,53.0182492073713,18.5998374223709,,,
1962,69804,Bema 04,,53.020975955334,18.5967206954956,,,
1971,70006,Wybickiego 06,,53.0244494858184,18.5921435058117,,,
1964,70204,Żwirki i Wigury 06,,53.0285841228695,18.5908895730972,,,
21,46302,Długa 02,,53.0315199101022,18.5953822731972,,,
1958,70406,KONIUCHY 06,,53.0338966222203,18.5995678603649,,,
1959,70604,Elektryczna 04,,53.0393036179862,18.599853515625,,,
1976,70804,Wiśniowieckiego 06,,53.0413227009828,18.5992822051048,,,
1965,71004,Freytaga 04,,53.0440238023224,18.6015325784683,,,
1961,71204,Hubego 04,,53.0464240121431,18.6032585799694,,,
1974,71404,Grasera 04,,53.0504203027936,18.6042255163193,,,
1969,71604,STROBANDA 04,,53.0540155996563,18.6031579971313,,,
1980,71802,Heweliusza 00,,53.0549764443446,18.5975387692451,,,
432,29802,WRZOSY I 02,,53.049764,18.573644,,,
182,56502,Czeremchowa nż. 02,,53.050219,18.583459,,,
110,56302,Słoneczna nż. 02,,53.048215,18.591379,,,
703,02401,Chabrowa 01,,53.044705904431,18.5887344181538,,,
609,29502,Lisia 02,,53.0418258443275,18.5803323984146,,,
559,29302,św. Antoniego 02,,53.039353,18.582222,,,
663,29102,Bartkiewiczówny 02,,53.032777,18.587348,,,
584,48503,Żwirki i Wigury 03,,53.0288486745269,18.5903638601303,,,
224,28701,Wybickiego 01,,53.024293,18.591914,,,
1928,28501,Bema 01,,53.0208763271917,18.5965242236853,,,
104,69001,Targowisko 01,,53.0180914863516,18.6002095788717,,,
436,09900,DWORZEC GŁÓWNY 00,,53.000632,18.614442,,,
702,59203,Fałata 03,,53.015839,18.580401,,,
508,58203,Od Nowa 03,,53.01824,18.578534,,,
351,58403,Akademiki 03,,53.017596,18.574149,,,
293,58603,Aula UMK 03,,53.018023,18.56966,,,
407,58804,Szosa Okrężna 04,,53.019663,18.56575,,,
162,59000,UNIWERSYTET 00,,53.022352,18.566002,,,
262,28402,Targowisko 02,,53.0182798640754,18.5999675095081,,,
390,13804,KONIUCHY 04,,53.0339026706928,18.5993137210608,,,
526,47501,Wiśniowieckiego 01,,53.041298,18.597725,,,
513,42501,Ugory nż. 01,,53.04415764354,18.5928851366043,,,
397,29401,Lisia 01,,53.0430756140855,18.5798898339272,,,
79,56903,Lniana 03,,53.048061,18.588403,,,
654,56401,Słoneczna nż. 01,,53.0488498861894,18.5915172100067,,,
430,56601,Czeremchowa nż. 01,,53.0505460626342,18.5854339599609,,,
582,56701,Brzoskwiniowa nż. 01,,53.049549,18.578442,,,
261,29800,WRZOSY I 00,,53.050156,18.572602,,,
284,11202,Kosynierów Kośc. 02,,53.024004,18.694549,,,
51,11702,Ligi Polskiej 02,,53.02258,18.688331,,,
410,11902,Wyszyńskiego 02,,53.02308,18.683318,,,
331,67201,Ślaskiego 01,,53.0235343433463,18.6758203804493,,,
166,30601,Prejsa 01,,53.02443,18.674469,,,
749,16404,Jamontta 04,,53.025446,18.672116,,,
373,16002,Przy Skarpie 02,,53.024262,18.666494,,,
405,15702,Rydygiera 02,,53.023226,18.659656,,,
562,15402,Plac Daszyńskiego 02,,53.021596,18.649113,,,
794,40904,Targowa 04,,53.018071,18.638563,,,
717,14302,Gołębia 02,,53.0153342710698,18.6309478387465,,,
422,31202,Dworzec Miasto 02,,53.01108,18.619417,,,
375,34102,Plac Św. Katarzyny 02,,53.012923,18.612544,,,
73,33202,Wały gen. Sikorskiego 02,,53.012968,18.604114,,,
329,49701,Kolankowskiego 03,,53.029373,18.693768,,,
246,37901,Kusocińskiego nż. 01,,53.031124,18.70206,,,
106,49901,Słupska nż. 01,,53.0321231734953,18.7070882320404,,,
522,38101,Odległa nż 01,,53.035566,18.722775,,,
75,38301,Lubicz Dolny - Lipowa n/ż 01,,53.031859,18.73882,,,
697,00401,Lubicz Dolny - Kolejowa n/ż 01,,53.031455,18.744744,,,
115,44801,Lubicz Dolny - Urząd Gminy n/ż 01,,53.030467,18.752563,,,
634,38501,Lubicz Dolny 01,,53.0308263080717,18.7595307826996,,,
226,38701,Lubicz Górny 01,,53.0255644002378,18.77044117097,,,
454,38900,LUBICZ GÓRNY-OSIEDLE 00,,53.0239687258649,18.7653136253357,,,
107,38901,LUBICZ GÓRNY-OSIEDLE 01,,53.0236682677714,18.7662068843114,,,
266,48401,Lubicz Górny - Bankowa 01,,53.024571,18.770125,,,
339,61901,Krobia-Kalinowa nż. 01,,53.0296681291192,18.7734997272491,,,
750,62101,Krobia-Osiedlowa nż. 01,,53.033378,18.778143,,,
292,62402,Krobia-Poligraficzna nż. 02,,53.037142,18.782816,,,
30,62500,KROBIA nż 00,,53.036482468473,18.7862791121006,,,
637,78101,Szembekowo nż 01,,53.0501139631848,18.8359844684601,,,
187,78001,Szembekowo-skrz. nż. 01,,53.0504299766405,18.8448813557625,,,
608,77801,Szembekowo-OSP nż. 01,,53.0437722442106,18.8429528474808,,,
453,77601,Szembekowo-Osiedlowa nż. 01,,53.0304746637112,18.8347613811493,,,
267,77401,Brzozówka-Olszynowa nż. 1,,53.028468,18.822745,,,
299,77201,Brzozówka-wieś nż. 01,,53.02662,18.816846,,,
282,78401,Brzozówka - sklep nż. 01,,53.024182,18.809123,,,
371,70101,Brzozówka nż. 01,,53.0208242945887,18.8005042076111,,,
603,38802,Lubicz Górny 02,,53.026713,18.77174,,,
317,38602,Lubicz Dolny 02,,53.031229,18.757696,,,
735,38202,Płocka nż. 02,,53.03421,18.716088,,,
327,50002,Słupska nż. 02,,53.032055,18.704898,,,
429,60103,Kusocińskiego nż. 03,,53.029827,18.701376,,,
550,11401,OLIMPIJSKA P&R 01,,53.0263333517529,18.7021241337061,,,
348,11604,Kosynierów Kośc. 04,,53.024061,18.694134,,,
160,06200,RUBINKOWO P&R 00,,53.0275291263412,18.6788874864578,,,
532,36901,SZUBIŃSKA 01,,52.976213,18.556124,,,
671,36802,Bliska nż. 02,,52.976292,18.560699,,,
332,36402,Gniewkowska nż. 02,,52.976457,18.566426,,,
280,37302,63. Pułku Piechoty 02,,52.995248,18.607443,,,
189,37102,Biała 02,,52.995314,18.613572,,,
547,08201,Brązowa 01,,52.992548851444,18.6159564965188,,,
441,53302,Andersa nż. 02,,52.990613,18.617055,,,
279,51402,Dandelskiego 02,,52.991221,18.626243,,,
323,43302,Zakole 02,,52.9952602305893,18.6311495304108,,,
458,65004,Gen. Grota Roweckiego nż. 04,,52.997556,18.634416,,,
677,43502,Telimeny 02,,53.000765,18.641984,,,
536,21802,Grzybowa nż. 02,,53.002736,18.636869,,,
400,65601,Otłoczyńska nż. 01,,53.003625,18.658166,,,
1039,59002,UNIWERSYTET 02,,53.0222360096332,18.5658994317055,,,
70,46802,Szosa Okrężna 02,,53.019045,18.566613,,,
530,06602,Aula UMK 02,,53.017413,18.57064,,,
352,35902,Boboli 02,,53.028269,18.593491,,,
476,36102,Lecha 02,,53.0284357151316,18.5996013879776,,,
574,46401,Lotników 01,,53.028695,18.608163,,,
589,35401,Dworzec Wschodni 01,,53.0239219402142,18.6345505714417,,,
116,35601,Plac Daszyńskiego II 07,,53.02207,18.645982,,,
433,15303,Plac Daszyńskiego 03,,53.0213179967599,18.649930357933,,,
392,48205,Rydygiera 05,,53.023781,18.658275,,,
347,42902,Czerniewice 02,,52.9834543372707,18.6848795413971,,,
62,43002,Zdrojowa nż. 02,,52.9779119463074,18.683232665062,,,
716,43102,Matysiaków 02,,52.975972,18.676083,,,
732,50702,Solankowa nż. 02,,52.98253,18.67015,,,
568,43201,Włocławska nż. 01,,52.989642,18.663921,,,
438,17502,Ceramika 02,,52.991971,18.647164,,,
253,66402,Zimowa nż. 02,,52.992123,18.641304,,,
227,17302,Stawki Południowe nż. 02,,52.992236,18.636496,,,
271,17102,Stawki 02,,52.9945531303548,18.6280488967896,,,
38,07801,Plebiscytowa 01,,52.9962256135843,18.6238431930542,,,
364,07901,Kniaziewicza 01,,52.99515045323,18.6182856559753,,,
145,09602,Kraszewskiego 02,,53.014239,18.59266,,,
141,26402,Fałata 02,,53.015313,18.581188,,,
380,48802,Koniuchy 02,,53.033362,18.601882,,,
318,42201,Wielki Rów 01,,53.0333974186996,18.6114406585693,,,
357,07201,Kozacka 01,,53.030587,18.610488,,,
679,11003,Ligi Polskiej 03,,53.022751,18.690547,,,
8,11503,Kosynierów Kośc. 03,,53.024119,18.69593,,,
85,14901,Nad Rzeczką nż 01,,53.051685,18.70472,,,
655,33401,Meprozet nż. 01,,53.052471,18.702461,,,
109,62602,WAPIENNA 02,,53.0527536523778,18.6958826333284,,,
322,13602,Osiedle Tysiąclecia 02,,53.029613,18.601501,,,
105,47701,MAZOWIECKA (pętla) 01,,53.0453984769705,18.625869601965,,,
20,03102,Mazowiecka 02,,53.0426805294979,18.6261177062988,,,
516,03002,Fort IV nż. 02,,53.0395132715787,18.6325281858444,,,
506,12402,Kociewska 02,,53.0423580087828,18.6366319656372,,,
387,12502,Kanałowa 02,,53.036777,18.636499,,,
4,22902,Dębowa Góra 02,,53.0358861206824,18.6291110515594,,,
448,22602,Batorego nż 02,,53.037237,18.62125,,,
143,07303,Polna 03,,53.037419,18.612498,,,
573,47700,MAZOWIECKA (pętla) 00,,53.0451348330896,18.6260104179382,,,
125,54302,Młyn Wiedzy nż 02,,53.02524,18.627951,,,
57,56101,Zaułek Dworcowy nż. 01,,53.029795,18.62301,,,
118,55701,Towarowa 01,,53.03274,18.626151,,,
298,47401,BIELAWY 01,,53.03268,18.690571,,,
137,64003,Sczanieckiego 03,,53.027554,18.610015,,,
275,63801,Popiela 01,,53.026257,18.600257,,,
840,28602,Wybickiego 02,,53.025579,18.5918,,,
715,64301,Od Nowa 01,,53.018176,18.578665,,,
723,06501,Akademiki 01,,53.017491,18.574191,,,
283,06701,Aula UMK 01,,53.017948,18.569542,,,
680,46901,Szosa Okrężna 01,,53.019576,18.565681,,,
445,57301,Łukasiewicza 01,,53.016907,18.560114,,,
5,27303,Szosa Bydgoska nż. 03,,53.0151834269538,18.5561549663544,,,
13,27501,Oczyszczalnia nż. 01,,53.016245,18.541006,,,
183,57101,Centrum Handlowe-Zachód nż. 01,,53.016877,18.534557,,,
367,27701,Starotoruńska 01,,53.01913,18.519987,,,
477,27800,PORT DRZEWNY 00,,53.0200571044592,18.5105506403191,,,
238,42303,Wielki Rów 03,,53.034294,18.611009,,,
621,55901,Mocarskiego 01,,53.027063,18.655916,,,
173,56004,Rydygiera 04,,53.024315,18.657367,,,
243,18303,Odrodzenia 03,,53.015121,18.600966,,,
188,00803,Sztuki Piękne 05,,53.013942,18.578943,,,
269,29901,Lotnisko nż. 01,,53.027269,18.565709,,,
578,55001,Bluszczowa nż. 01,,53.0310537462458,18.5661515593529,,,
296,54801,Orzechowa nż. 01,,53.034619,18.576435,,,
529,54701,PRZY LESIE 01,,53.034994,18.583471,,,
551,68202,Przysiecka nż. 02,,53.058713,18.546752,,,
177,59902,os. Leśne - Polana nż. 02,,53.057907,18.560415,,,
742,29702,Zagonowa nż. 02,,53.046845,18.576643,,,
611,26501,Lniana 01,,53.0476534934545,18.585986495018,,,
488,13301,Lelewela 01,,53.024137,18.601512,,,
629,13101,Dekerta 01,,53.020893,18.601907,,,
470,13001,Legionów 01,,53.017537,18.603698,,,
755,32909,Dworzec Autobusowy 09,,53.0153633458736,18.6057657748461,,,
126,15601,Rydygiera 01,,53.022866,18.660015,,,
643,16301,Jamontta 01,,53.024716,18.670234,,,
581,31501,Przy Skarpie 03,,53.023547,18.667369,,,
556,36601,Wianki 01,,53.018611,18.674787,,,
605,31601,Turystyczna nż. 01,,53.015952,18.680192,,,
593,31801,Wieżowa nż. 01,,53.014148,18.683161,,,
466,40801,Księżycowa nż. 01,,53.011443,18.688791,,,
844,32101,Dożynkowa nż. 01,,53.007851,18.695215,,,
358,59301,Dyngusowa nż. 01,,53.008447223067,18.7035966664553,,,
748,60301,Fantazyjna nż. 01,,53.00836,18.707743,,,
615,59601,Skierki nż. 01,,53.005555,18.705028,,,
325,62801,Wodna nż. 01,,53.002601,18.70146,,,
354,32500,DRWĘCA 00,,53.001609084489,18.7010210752487,,,
434,63402,Lipnowska nż. 02,,52.993011,18.65212,,,
